ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
---,239932,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-02,---
CND10006HB01,239931,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-26,---
CND10006GPT1,230012,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-24,---
CND10006GQF8,239930,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-19,---
CND10006G542,239929,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-12,---
CND10006FNG5,230011,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-12,---
CND10006FQJ2,239928,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-10,---
CND10006FQK0,239927,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-10,---
CND10006DR07,239926,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-05,---
CND10006C988,239925,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-05,---
CND10006BDM3,230010,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-24,---
CND10006BG93,239924,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-21,---
CND10006BCN3,239923,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-21,---
CND10006BC89,239922,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND100069PK9,230009,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
